Date, Thread, Level, Logger, Message
2024-05-30T13:30:33.533, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/biz/directory/ Status code: 200"
2024-05-30T13:30:33.957, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/votinginformationcenter/?entry_point=c2l0ZQ%3D%3D Status code: 200"
2024-05-30T13:30:34.446, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/groups/discover/ Status code: 200"
2024-05-30T13:30:35.406, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://about.meta.com/ Status code: 200"
2024-05-30T13:30:36.759, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/ad_campaign/landing.php?placement=pflo&campaign_id=402047449186&nav_source=unknown&extra_1=auto Status code: 200"
2024-05-30T13:30:38.683, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://developers.facebook.com/?ref=pf Status code: 200"
2024-05-30T13:30:40.801, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/careers/?ref=pf Status code: 200"
2024-05-30T13:30:41.438, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/policies/cookies/ Status code: 200"
2024-05-30T13:30:41.831, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://www.facebook.com/help/568137493302217 Status code: 200"
2024-05-30T13:30:42.568, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/policies?ref=pf Status code: 200"
